update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1218684725,"[compiler] false positive for ""missing return result"" when switching enum",1218699887,"[1.5][compiler] false positive for ""missing return result"" when switching enum",244133,,,,,,,,
1218810838,Internal compiler error for one of the test case classes,1218812132,[1.6][compiler] Internal compiler error for one of the test case classes,244339,,,,,,,,
1218845557,CommonViewer.remove() called redundantly when removing Java Project,1219027170,[common navigator] CommonViewer.remove() called redundantly when removing Java Project,244358,,,,,,,,
1218716895,"Using xor when checking for null results in false ""potential null pointer"" warning",1219028439,"[compiler][null] Using xor when checking for null results in false ""potential null pointer"" warning",244222,1298871721,"[compiler][null][correlation] Using xor when checking for null results in false ""potential null pointer"" warning",,,,,,
1216725028,Generics handling differs from Sun/Apple javac1.6,1219028845,[1.5][compiler] Generics handling differs from Sun/Apple javac1.6,241710,,,,,,,,
1219070916,Formatter fails on special Java array construct,1219074227,[formatter] Formatter fails on special Java array construct,244477,,,,,,,,
1219049277,Outgoing change to preferences when no change made,1219109094,[preferences] Outgoing change to preferences when no change made,244431,,,,,,,,
1216093214,[call hierarchy] callers are not found when caller and callee reside in sibling Java projects,1219142266,[search] callers are not found when caller and callee reside in sibling Java projects,240790,,,,,,,,
1217989536,Refactor->Move does answer with an exception (sinse Eclipse 3.3),1219218166,[search] Refactor->Move does answer with an exception (sinse Eclipse 3.3),243272,,,,,,,,
1219210446,Two .java files created when pasting source with secondary type before primary type,1219229371,[create on paste] Two .java files created when pasting source with secondary type before primary type,244681,,,,,,,,
1219251906,Internal compiler error java.lang.NullPointerException after importing file,1219261140,[1.5][compiler] Internal compiler error java.lang.NullPointerException after importing file,244762,,,,,,,,
1219240742,Add Import will add static import even when compliance is at 1.4,1219283495,[organize imports] Add Import will add static import even when compliance is at 1.4,244742,,,,,,,,
1219285690,Compiler->Javadoc Reports error on @param tags with linebreak,1219289391,[javadoc] Compiler reports error on @param tags with linebreak,244785,,,,,,,,
1219372328,Misleading error message for invalid method call with overloaded methods,1219374211,[compiler] Misleading error message for invalid method call with overloaded methods,244923,,,,,,,,
1219224481,[getter setter] Insertion point option not being preserved,1219379936,code generation at Insertion point option not being preserved,244716,,,,,,,,
1219372756,NPE when externalizing strings,1219380533,[nls tooling] NPE when externalizing strings,244925,,,,,,,,
1192160969,"Generics, type compatibility rules",1219721033,"[1.5][compiler] Generics, type compatibility rules",206123,,,,,,,,
1219657565,[templates][preferences] Java Code Templates properties: 'Restore Defaults' removes nodes in UI,1219729249,[code templates] Java Code Templates properties: 'Restore Defaults' removes nodes in UI,245140,,,,,,,,
1219729870,Add preference for new compiler warning:,1219729887,Add preference for new compiler warning: MissingSynchronizedModifierInInheritedMethod,245240,1219736610,[preferences] Add preference for new compiler warning: MissingSynchronizedModifierInInheritedMethod,,,,,,
1219757453,Class javadoc is the cause of compiler errors in another class,1219763753,[compiler] Class javadoc is the cause of compiler errors in another class,245304,,,,,,,,
1219802075,Annotations are recognized by ASTParser even in COMPILER_SOURCE is set < 1.5,1219816075,[dom] Annotations are recognized by ASTParser even in COMPILER_SOURCE is set < 1.5,245348,1219820615,[DOM] Annotations are recognized by ASTParser even in COMPILER_SOURCE is set < 1.5,,,,,,
1219739223,"Save action ""Convert control statement bodies to block"" crashes on if(true }",1219827503,[clean up] Convert control statement bodies to use blocks fails on if(true },245254,,,,,,,,
1219854775,EclipseC compile a broken code.,1219859921,[1.5][compiler] Checked exception is not properly handled,245453,,,,,,,,
1219857045,Formatting with the keyboard binding does not work unless you press CTRL-SHIFT-F four times,1219886659,[key binding] Formatting with the keyboard binding does not work unless you press CTRL-SHIFT-F four times,245459,,,,,,,,
1219993440,MalformedTreeException occuring while formatting may not be surfaced to user in an error dialog,1219999318,[misc] MalformedTreeException occuring while formatting may not be surfaced to user in an error dialog,245688,,,,,,,,
1216910831,"Source attachment paths changed behavior from Europa:  Must now be specific or ""source not found""",1220013651,Multiple source attachment paths don't work when source attachment path points to a folder,242029,,,,,,,,
1220114638,TypeContextChecker creates stub with syntax error,1220232113,[refactoring] TypeContextChecker creates stub with syntax error,245777,,,,,,,,
1219309495,Left margin tabs wont convert to spaces in certain circumstances,1220314078,[typing] Left margin tabs wont convert to spaces in certain circumstances,244826,,,,,,,,
1220274135,"[Save actions] ""final"" modifier in for loops sometimes gets duplicated",1220317128,"[clean up] ""final"" modifier in for loops sometimes gets duplicated",245901,,,,,,,,
1220122035,"""java build path"" jar fentries are ""lost""  without re-import",1220322140,"[buildpath] ""java build path"" jar fentries are ""lost""  without re-import",245779,,,,,,,,
