update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1212493515,normal,1212494705,enhancement,235412,1212521196,normal,,,,
1180024746,critical,1213177992,major,189051,,,,,,
1213324709,critical,1213328076,major,237025,,,,,,
1212479661,normal,1213353889,critical,235336,,,,,,
1213692416,normal,1213773417,critical,237475,,,,,,
1213668362,major,1213838440,normal,237435,,,,,,
1215507655,normal,1215508212,trivial,240000,,,,,,
1211529264,normal,1215512386,major,233670,,,,,,
1217904705,major,1217908625,blocker,243136,1218071249,major,,,,
1218450981,normal,1218451610,major,243782,,,,,,
1219384366,normal,1219631947,minor,244941,,,,,,
1215520888,normal,1219754927,enhancement,240053,1219799055,major,,,,
1220990188,major,1221015454,critical,246804,1221032785,blocker,,,,
1221031927,normal,1221037839,major,246859,,,,,,
1218448002,major,1221649456,normal,243766,,,,,,
1216897173,critical,1223042513,blocker,242002,1223044370,critical,,,,
1223854248,blocker,1223888921,normal,250599,,,,,,
1222056449,normal,1224041835,major,248122,,,,,,
1222142041,normal,1224208323,major,248248,,,,,,
1224640564,enhancement,1224662257,major,251665,,,,,,
1225187232,normal,1225187479,major,252374,,,,,,
1225769336,normal,1225769393,blocker,253658,1225789493,normal,1225789762,blocker,1225789789,normal
1225878696,normal,1225878710,major,253945,1225879949,normal,,,,
1226453158,normal,1226650384,major,254988,,,,,,
1217298461,major,1227014629,normal,242341,,,,,,
1227673925,normal,1227675829,major,256590,,,,,,
1227760789,normal,1227775386,major,256752,,,,,,
1228908426,major,1228910848,critical,258319,,,,,,
1228793936,major,1228968976,blocker,258038,1229000542,major,,,,
1178833285,normal,1229340936,enhancement,186492,1229340996,normal,,,,
1231996232,critical,1231996312,major,261180,,,,,,
1232312632,normal,1232364429,minor,261444,,,,,,
1232543088,normal,1232543152,major,261878,,,,,,
1232543829,normal,1232543847,major,261880,,,,,,
1228825487,normal,1232962299,trivial,258141,,,,,,
1232897093,blocker,1232964824,critical,262324,,,,,,
1220590553,normal,1232972277,minor,246347,,,,,,
1233056291,normal,1233056369,major,262609,,,,,,
1233218737,normal,1233218752,major,262902,,,,,,
1233003727,normal,1233577462,major,262498,,,,,,
1233548011,normal,1233633591,major,263213,,,,,,
1234514193,normal,1234514375,major,264848,,,,,,
1235032652,normal,1235035907,major,265467,,,,,,
1235049441,normal,1235049465,minor,265527,,,,,,
1235423084,normal,1235423129,major,265907,,,,,,
1235423272,normal,1235423297,major,265908,,,,,,
1231835867,normal,1236074596,major,260850,,,,,,
1236104485,normal,1236104506,major,266954,,,,,,
1236706129,normal,1236706153,major,267989,,,,,,
1236783007,major,1236783052,critical,268212,1236856008,major,,,,
1236964395,normal,1237195083,major,268616,,,,,,
1237210477,normal,1237210541,major,268849,,,,,,
1221679155,normal,1237395541,critical,247766,1270655158,major,,,,
1237316530,normal,1237396958,major,269111,1238428194,critical,,,,
1237545390,major,1237660552,normal,269540,,,,,,
1236186459,normal,1238253232,major,267127,,,,,,
1234263130,normal,1238492133,minor,264383,,,,,,
1237372643,major,1238658298,critical,269225,1239606671,normal,,,,
1235561210,enhancement,1238758849,normal,266169,,,,,,
1239797771,normal,1239801335,major,272352,,,,,,
1239848767,normal,1239848816,major,272452,1239848870,blocker,,,,
1239831454,normal,1239884811,critical,272427,,,,,,
1240318859,normal,1240326553,major,273115,,,,,,
1240362746,normal,1240364044,major,273199,,,,,,
1239964119,normal,1240568390,minor,272725,,,,,,
1241180562,normal,1241181132,major,274678,,,,,,
1225370863,normal,1241518023,minor,252856,,,,,,
1241704358,enhancement,1241704395,normal,275368,,,,,,
1241172506,critical,1242313363,normal,274657,,,,,,
1242738702,normal,1242738737,minor,276989,,,,,,
1242797344,normal,1242797371,major,277119,,,,,,
1242726401,major,1243217401,critical,276931,1243928270,normal,,,,
1243247358,normal,1243250087,major,277729,,,,,,
1243938644,normal,1243938784,major,278818,,,,,,
1243319909,normal,1244017032,major,277837,,,,,,
1244017376,major,1244084887,normal,278958,,,,,,
1244707907,normal,1244708062,major,279945,,,,,,
1245044508,major,1245053016,critical,280259,1245059314,major,1245063828,critical,1245064064,major
1246015457,normal,1246244122,major,281691,,,,,,
1243259139,normal,1246877665,minor,277755,,,,,,
1234542776,normal,1246882658,minor,264908,1251457624,normal,,,,
1242206579,normal,1246883187,minor,276114,,,,,,
1246939867,enhancement,1246956292,normal,282646,,,,,,
1245747033,normal,1247144874,major,281224,,,,,,
1239658843,normal,1247824968,minor,272107,,,,,,
1249041185,normal,1249041240,major,285313,,,,,,
1249985069,normal,1249985318,major,286276,,,,,,
1250072379,normal,1250752508,major,286408,1250836556,critical,,,,
1250668657,normal,1250807457,major,287068,,,,,,
1250819061,major,1250820087,critical,287271,,,,,,
1250783033,blocker,1250845281,normal,287242,,,,,,
1239203116,normal,1251450451,major,271702,,,,,,
1252481598,minor,1252576759,trivial,288941,,,,,,
1253670210,major,1254118345,critical,290220,,,,,,
1255540115,normal,1255540715,critical,292327,,,,,,
1256284809,normal,1256285017,major,293179,,,,,,
1256645395,normal,1256645952,major,293474,1260169996,critical,1268382017,major,,
1256654880,normal,1256656137,critical,293499,1256659365,normal,,,,
1256044272,normal,1258458252,major,292807,,,,,,
1259732402,major,1259758061,normal,296686,,,,,,
1260185434,normal,1260204269,critical,297096,1260441431,major,,,,
1260427689,normal,1260427732,minor,297471,,,,,,
1261394376,major,1262281584,blocker,298318,,,,,,
1261822176,normal,1262696392,major,298538,,,,,,
1263553472,normal,1263553497,minor,299790,,,,,,
1264077296,normal,1264077405,trivial,300416,,,,,,
1258624415,normal,1266419410,major,295609,,,,,,
1263222745,major,1268043175,normal,299319,1268644079,major,,,,
1268014081,major,1268059448,normal,304961,,,,,,
1268825735,normal,1268825937,major,306228,,,,,,
1251929994,normal,1269024730,critical,288425,,,,,,
1269540499,normal,1269540539,major,307149,,,,,,
1269614996,normal,1269615025,major,307229,,,,,,
1270733316,normal,1270733375,major,308547,,,,,,
1269387381,major,1271059763,normal,306903,1272230233,major,,,,
1271167402,normal,1271167424,major,309046,,,,,,
1271185598,normal,1271185770,minor,309063,,,,,,
1271224504,normal,1271227840,major,309104,,,,,,
1273486604,normal,1273486642,major,312291,,,,,,
1271779702,major,1273496078,normal,309884,,,,,,
1274239223,critical,1274248640,blocker,313489,1274277973,major,1297219306,critical,,
1274270565,normal,1274270578,major,313590,,,,,,
1274432933,normal,1274791490,major,313922,1274884072,critical,,,,
1275012724,critical,1275048412,major,314814,1275296913,normal,,,,
1275943574,normal,1275980927,major,316078,,,,,,
1277369661,major,1277371164,normal,317838,,,,,,
1243829669,normal,1277372959,major,278598,,,,,,
1279027370,normal,1279027696,major,319781,,,,,,
1279751885,normal,1279782455,major,320583,1279792351,normal,1279793918,major,,
1279900391,trivial,1279902214,minor,320774,,,,,,
1281595231,blocker,1281598568,critical,322521,,,,,,
1282319167,normal,1282535101,minor,323298,,,,,,
1285691241,normal,1285939750,major,326472,,,,,,
1285837024,normal,1287567969,major,326679,,,,,,
1292330550,normal,1292330617,critical,332559,,,,,,
1253717270,normal,1298430733,major,290324,1300436133,critical,,,,
1298549942,normal,1298550552,major,338133,,,,,,
1291140687,normal,1298884619,major,331485,,,,,,
1297159485,normal,1299752314,major,336632,,,,,,
1301905372,normal,1301967649,major,341787,,,,,,
1300979639,normal,1302010651,critical,340906,,,,,,
1294799499,critical,1304397374,major,334059,,,,,,
1304684482,normal,1304684722,major,345007,,,,,,
1172569998,normal,,,175713,,,,,,
1180539240,normal,,,190060,,,,,,
1181054336,minor,,,191119,,,,,,
1195043070,normal,,,209845,,,,,,
1195221534,normal,,,210135,,,,,,
1196178306,normal,,,211133,,,,,,
1196847418,normal,,,212014,,,,,,
1197621249,normal,,,213019,,,,,,
1197972851,normal,,,213323,,,,,,
1197974125,normal,,,213326,,,,,,
1199269513,normal,,,214125,,,,,,
1199452552,normal,,,214382,,,,,,
1199784132,normal,,,214620,,,,,,
1199789012,normal,,,214634,,,,,,
1199871244,normal,,,214758,,,,,,
1199889145,normal,,,214803,,,,,,
1200065100,normal,,,215089,,,,,,
1200646635,normal,,,215806,,,,,,
1200764948,normal,,,215899,,,,,,
1201086651,normal,,,216308,,,,,,
1201089283,normal,,,216312,,,,,,
1201094350,normal,,,216329,,,,,,
1201535342,normal,,,216829,,,,,,
1201689652,normal,,,217115,,,,,,
1201689735,normal,,,217116,,,,,,
