update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1147182040,critical,1147262581,normal,140917,,,,
1145594729,critical,1147345324,major,137919,1147405368,critical,1147407150,major
1147344821,normal,1147349953,minor,141345,,,,
1147354863,normal,1147356573,major,141400,,,,
1146835122,major,1147424641,critical,140423,,,,
1147689847,normal,1147749554,minor,141801,,,,
1147785201,normal,1147792791,major,142059,,,,
1147775143,critical,1147860009,normal,142023,,,,
1147856096,normal,1147862313,minor,142234,,,,
1147317286,normal,1147864329,major,141249,1147864816,normal,1149485265,critical
1147177229,normal,1148255504,major,140879,,,,
1148288103,major,1148371168,normal,142997,,,,
1148298641,normal,1148373634,minor,143027,,,,
1148561814,normal,1148561877,major,143800,,,,
1148466881,blocker,1148562050,normal,143516,,,,
1148991286,normal,1149038794,trivial,144508,,,,
1149051180,normal,1149051304,minor,144635,,,,
1149089303,normal,1149089867,enhancement,144785,1150342139,normal,,
1141711226,normal,1149134582,enhancement,130725,1175506522,minor,,
1144315103,minor,1149135341,normal,135298,,,,
1145300108,normal,1149135905,enhancement,137114,1175571285,minor,,
1149174514,critical,1149297603,major,144983,,,,
1149689866,critical,1149742127,major,145866,,,,
1149860777,normal,1150268788,major,146331,,,,
1149757392,critical,1150713801,normal,146018,,,,
1150103819,major,1150860877,minor,146602,,,,
1150890544,normal,1150939433,minor,148081,1150974355,normal,,
1150970675,normal,1151053751,major,148247,,,,
1151063001,major,1151462804,normal,148419,1152157263,major,,
1151465925,normal,1151472926,minor,148963,,,,
1151488826,normal,1151489404,major,149028,,,,
1151510518,minor,1151541594,normal,149088,,,,
1151495591,normal,1151543228,trivial,149050,,,,
1151650859,normal,1151650934,major,149295,,,,
1151928920,enhancement,1151937945,minor,149491,,,,
1152102592,normal,1152149902,minor,149720,,,,
1149145438,enhancement,1152543635,normal,144875,,,,
1151480949,normal,1152692447,critical,148995,,,,
1150881301,normal,1152693887,major,148054,,,,
1153129422,normal,1153129440,trivial,150823,,,,
1153363003,normal,1153363731,minor,151195,,,,
1146731020,normal,1153470321,minor,140163,,,,
1153672984,normal,1153795787,trivial,151533,,,,
1154313043,normal,1154320211,minor,152304,,,,
1153999340,normal,1154410394,minor,152029,,,,
1154483980,major,1154488900,normal,152562,,,,
1154508687,normal,1154508939,major,152604,,,,
1154584580,normal,1154666655,major,152725,,,,
1155013872,normal,1155013974,minor,153078,,,,
1155091463,normal,1155092151,minor,153247,,,,
1155556293,normal,1155556386,major,153796,,,,
1155090348,normal,1155775033,major,153245,,,,
1155803280,minor,1155804835,normal,154228,,,,
1156146987,major,1156147958,critical,154534,,,,
1156136594,normal,1156149296,major,154518,,,,
1143560641,minor,1156273105,normal,133744,,,,
1156382798,trivial,1156383149,normal,154992,,,,
1156383133,trivial,1156387028,minor,154993,1156391828,major,,
1156387360,critical,1156387723,major,155003,,,,
1156346280,normal,1156412315,major,154939,,,,
1157013993,normal,1157014027,minor,155834,,,,
1157550735,normal,1157592141,minor,156426,1157592954,normal,,
1156771421,normal,1157626988,major,155450,,,,
1147943485,critical,1158140640,major,142508,,,,
1157724357,critical,1158203435,major,156765,,,,
1158311272,major,1158548512,normal,157480,,,,
1158648903,normal,1158649130,enhancement,157796,1158658362,minor,,
1157554998,minor,1158662608,normal,156437,,,,
1158895381,blocker,1158910369,normal,158274,,,,
1159041275,major,1159144334,minor,158457,,,,
1159266326,major,1159266443,critical,158799,,,,
1159530153,major,1159779484,critical,159325,,,,
1159781623,normal,1159781641,minor,159463,,,,
1159888890,normal,1159888962,minor,159651,1160363838,normal,,
1159890547,normal,1159907101,critical,159654,1159952066,normal,,
1159433924,normal,1159970630,major,159118,,,,
1158936931,normal,1159970828,major,158387,,,,
1159276584,normal,1159971651,major,158837,,,,
1159976377,normal,1159976414,major,159815,,,,
1160107591,normal,1160365665,major,159987,,,,
1159966034,normal,1160373712,minor,159775,,,,
1159943605,critical,1160454135,normal,159713,,,,
1160414926,normal,1160486486,critical,160254,,,,
1160597503,critical,1160617141,normal,160609,,,,
1146577704,enhancement,1160727968,major,139818,,,,
1160729911,normal,1160970670,minor,160873,,,,
1161073424,minor,1161073984,normal,161242,,,,
1161431121,critical,1161436409,major,161846,,,,
1161899325,blocker,1161935770,normal,162518,1161937918,critical,,
1162888208,normal,1162888475,minor,163659,,,,
1158325380,blocker,1162904866,normal,157513,,,,
1162987752,normal,1162992874,major,163836,,,,
1163591977,major,1163675815,normal,164682,,,,
1163602685,normal,1163760405,minor,164703,,,,
1162970394,normal,1163995431,minor,163797,,,,
1164875769,normal,1164875794,major,166354,,,,
1165224631,minor,1165227965,normal,166641,,,,
1165900244,normal,1165900473,minor,167579,,,,
1165913957,normal,1165915749,major,167644,,,,
1165915145,normal,1165918167,major,167651,,,,
1165985987,minor,1166762915,normal,167825,,,,
1166982068,normal,1166992829,critical,169017,1167223688,normal,,
1167105278,major,1167207390,normal,169079,,,,
1167343019,critical,1167823670,normal,169222,,,,
1167831966,normal,1167832044,major,169467,,,,
1164970289,blocker,1168254913,normal,166512,,,,
1166345095,normal,1168580355,major,168354,,,,
1169110532,normal,1169111893,major,170914,,,,
1168973629,normal,1169116267,major,170717,,,,
1168965888,enhancement,1169293299,major,170704,,,,
1168586835,blocker,1169523313,minor,170318,,,,
1158310947,normal,1169528606,major,157479,1169617322,normal,,
1169094885,major,1169542217,critical,170884,,,,
1169704180,normal,1169705641,major,171653,,,,
1169796678,normal,1169800803,trivial,171787,,,,
1169921100,normal,1170078021,trivial,171915,,,,
1170135333,normal,1170303054,major,172142,,,,
1168941191,normal,1170303133,major,170641,,,,
1168319732,normal,1170755445,trivial,169946,,,,
1170757493,normal,1170765820,minor,173101,,,,
1170776694,normal,1170779076,major,173184,1170833337,normal,,
