update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1142343632,JDT,1142343962,Platform,131790,,,,,,
1142424895,Platform,1142425815,Community,131996,1144277747,Platform,,,,
1142504414,JDT,1142504600,Platform,132185,,,,,,
1142502826,Platform,1142512819,JDT,132179,1142568635,Platform,,,,
1142561142,JDT,1142575014,Platform,132296,,,,,,
1142524516,Platform,1142578424,JDT,132257,1142844610,Platform,,,,
1142582836,JDT,1142584255,Platform,132334,,,,,,
1142569913,JDT,1142844731,Platform,132306,,,,,,
1142312288,JDT,1142902003,Platform,131682,,,,,,
1142928258,JDT,1142941563,Platform,132675,,,,,,
1142857415,JDT,1142957060,Platform,132572,1143095764,JDT,1143518581,Platform,,
1142952387,JDT,1142992825,PDE,132739,1144085549,Platform,,,,
1139578469,Platform,1143048794,Equinox,127312,1144265458,Platform,,,,
1143165646,PDE,1143168570,Platform,133111,,,,,,
1143102228,PDE,1143191627,Platform,132994,,,,,,
1143167887,Platform,1143207863,JDT,133114,1143208258,Platform,,,,
1143216453,JDT,1143227426,Platform,133212,,,,,,
1143215732,Platform,1143453280,JDT,133211,1143602047,Platform,,,,
1143517395,JDT,1143520661,Platform,133495,,,,,,
1143458175,JDT,1143525593,Platform,133395,,,,,,
1143529382,JDT,1143536759,Platform,133524,,,,,,
1143190766,PDE,1143537404,JDT,133156,1143537420,Platform,,,,
1143529104,JDT,1143540484,Platform,133523,,,,,,
1143176165,JDT,1143557501,Platform,133126,,,,,,
1143626484,JDT,1143626934,Platform,133882,,,,,,
1143692833,JDT,1143705411,Platform,134055,,,,,,
1143686436,JDT,1143706537,Platform,134036,,,,,,
1143642803,Platform,1143706622,JDT,133933,1143707050,Platform,,,,
1143562209,JDT,1143728487,Platform,133749,,,,,,
1143752390,JDT,1143762100,Platform,134208,,,,,,
1143748240,JDT,1143762229,Platform,134202,,,,,,
1143771010,JDT,1143786997,Platform,134235,,,,,,
1144053114,PDE,1144085406,Platform,134515,,,,,,
1144118930,PDE,1144126173,Platform,134690,1144134798,JDT,1144141355,Platform,,
1144058840,Platform,1144135784,JDT,134545,1144230223,Platform,,,,
1144118699,JDT,1144136959,Platform,134689,,,,,,
1144135323,Platform,1144140347,PDE,134740,1144157718,Platform,,,,
1144138768,PDE,1144140925,Platform,134755,,,,,,
1144147188,JDT,1144153661,Platform,134803,,,,,,
1143639447,JDT,1144163265,Platform,133921,,,,,,
1144146801,JDT,1144224744,Platform,134800,,,,,,
1144205522,JDT,1144229958,Platform,134972,,,,,,
1144244251,JDT,1144286674,Platform,135121,,,,,,
1144262748,JDT,1144287420,Platform,135180,1144299910,JDT,1144312953,Platform,,
1143539366,Platform,1144348433,JDT,133594,1144383829,Platform,,,,
1144417434,JDT,1144418313,Platform,135643,,,,,,
1144629692,JDT,1144635553,Platform,135798,,,,,,
1144640127,JDT,1144684437,Platform,135829,,,,,,
1144775535,PDE,1144775792,Platform,136222,,,,,,
1144824790,PDE,1144828350,Platform,136316,,,,,,
1144851720,JDT,1144854336,Platform,136461,,,,,,
1144674628,Platform,1144916525,JDT,135971,1146132084,Platform,1233190136,JDT,1233548995,Platform
1145105436,PDE,1145106094,Platform,136913,,,,,,
1145112789,JDT,1145265652,Platform,136917,,,,,,
1145261629,JDT,1145334082,Platform,136982,,,,,,
1144993850,JDT,1145343554,Platform,136830,,,,,,
1145342326,JDT,1145346337,Platform,137200,,,,,,
1145340272,JDT,1145354722,Platform,137190,,,,,,
1145365677,JDT,1145432737,Platform,137335,,,,,,
1145439848,JDT,1145441286,Platform,137518,,,,,,
1145475977,JDT,1145504519,Platform,137640,,,,,,
1145590542,JDT,1145590999,Platform,137910,,,,,,
1145589754,JDT,1145591516,Platform,137908,,,,,,
1145585883,JDT,1145594969,Platform,137895,,,,,,
1145596404,PDE,1145601549,Platform,137921,,,,,,
1145518282,JDT,1145608788,Platform,137712,,,,,,
1145620437,Platform,1145621190,JDT,138014,1145804394,Platform,1145867949,JDT,1145882797,Platform
1137684948,JDT,1145624652,Platform,124552,,,,,,
1145792300,JDT,1145794077,Platform,138146,,,,,,
1145779909,PDE,1145837251,Platform,138138,,,,,,
1145941014,JDT,1145943890,Platform,138329,,,,,,
1145953621,PDE,1145989570,Platform,138376,,,,,,
1144855416,PDE,1145989786,Platform,136476,,,,,,
1144251100,PDE,1146005367,Platform,135160,,,,,,
1146035744,JDT,1146121680,Platform,138615,,,,,,
1146131212,JDT,1146147823,Platform,138959,,,,,,
1142286648,Platform,1146215237,PDE,131650,1146256711,Platform,,,,
1146231302,PDE,1146232567,Platform,139288,,,,,,
1146220499,JDT,1146233716,Platform,139226,,,,,,
1146364574,PDE,1146387246,Platform,139430,,,,,,
1146474981,JDT,1146475311,Platform,139519,,,,,,
